,ID,Title,Location,Estado,Company,Salary,Synopsis,Description,Post_Date,Accessed_Date,Link,English,Skills,Academy_grade,Years_Experience,SoftSkill,Skill_FrontEnd,Skill_BackEnd,Skill_computo,Roles_computo,Areas_computo
23,8,Software Developer Intern,"Guadalajara, Jal.",Jalisco,Luxoft,,"Deliver software components in overall software according to defined high-level design.Work with a team of automotive software engineers to research, design,…","Project Description
Luxoft Guadalajara is looking for a university student in his final year of study or recently graduated, for an internship in the automotive engineering field.

The individual will be responsible for C/C++ software engineering, designing, and building software modules with high-quality, high-performance automotive applications. Work with a team of automotive software engineers to research, design, implement and test embedded software solutions.
The successful candidate will be a responsible, motivated, self-starter who is able to work alone as well as in a team environment.
Responsibilities
Develop and maintain software codes based on defined component requirements and component design.Apply standard software guidelines including MISRA-C rules and naming rules.Deliver software components in overall software according to defined high-level design.Develop component test plans and test cases to verify the correct functionality against the requirements.Follow defined project processesReport work progress continuously through attendance of daily & weekly project internal meetings.Execute test plans, and confirm that the software behavior respects the requirements documents.Report findings (SW Bugs) on the configuration management tool.
Skills
Must have
Embedded C programming basic or intermediateVariables sizesVariables location uses (static, local, global, volatile, etc)Pointers
To functions
To variables
To arrays
To structures
ArraysStructuresUnionsMicrocontrollers Architecture
RAM
FLASH
Peripherals
ALU
Little Endian vs Big Endian
Programming
Tools usage
Compilers concept
Linkers concept
Debuggers usage
Peripherals usage
PWM
ADC
WatchDog
Timers
I/O
Serial communication ports
Serial communication protocols knowledge/Experience
UART
I2C
SPI
RS232
Lab equipment knowledge
Power Supply
Scope
Signal Generator
Multimeter
Basic squematics reading skills
Nice to have
CAN ProtocolASPICE conceptConfiguration Management conceptSoftware Architecture concept (AUTOSAR)
Languages
English: B1 Intermediate
Seniority
Intern
Relocation package
If needed, we can help you with relocation process.
Line of Business
Automotive
Vacancy Specialization
C Embedded
Ref Number
VR-75519",Postedhace 30+ días,2022-05-26,https://www.indeed.com/rc/clk?jk=96c6b69805eeaedf&fccid=4b841d912d46e4fd&vjs=3,English,,,,"Comunication skills, Motivated, Self Starter",Environment,,"Software, C++",Developer,Software
24,9,Software Developer Sr,"Guadalajara, Jal.",Jalisco,Plexus,,"In absence of a degree, 9+ years of experience as a software developer is required.Consistently write, translate, and code software applications according to…","Purpose Statement: The Software Developer Sr plays a role in the analysis, design, development, testing, and maintenance of existing software applications in support of the achievement of business requirements and goals. The Software Developer Senior will also oversee system startups in a timely and accurate fashion, and provide support to other departments where required. As an experienced team member, the Software Developer Senior acts as a leader to ensure adherence to project timelines, deliverables, and mentors less experienced team members as required.
Key Job Accountabilities:
Consistently write, translate, and code software applications according to the Plexus Change Management process and Application Development Standards. Solutions need to be reliable, secure, scalable and flexible.
Use technical knowledge, understanding of the applications and understanding of Plexus business to suggest technical and business process changes to improve reliability, service and efficiency of operation.
Collaborate with other Software Developers, Business Systems Analysts, Technical Systems Analysts, Project Managers, Architects and our internal/external customers in conceptualizing and developing new software applications.
Liaise with Systems Administrators, Business Systems Analysts, Technical Systems Analysts and other Software Developers to resolve incidents in a timely manner, conduct root cause analysis and identify permanent solutions to recurring problems.
Assist in the definition, development, and documentation of software’s business requirements, service level objectives, deliverables, and specifications in collaboration with IT Business and Technical Systems Analysts and internal and external users.
Additional Accountabilities:
Work Management - Assist or lead in defining software development project plans, including scoping, scheduling, and implementation.
Service Levels - Drive value back into the business through on-time and within budget delivery of IT projects and services which meet agreed-to functionality and scope.
System Accuracy - Design, run and monitor software tests on new and existing programs for the purposes of correcting errors, isolating areas for improvement, and general debugging. This includes, but is not limited to, requirement fulfillment, regression, performance and application interoperability.
Technical Competency - Maintain technical skills and conduct research on emerging application development software products, languages, and standards in support of procurement and development efforts which will position Plexus for the future.
Regulatory Compliance - Ensure that solutions support Plexus and customer policies surrounding key controls and compliance, such as SOX, ITAR, EAR, FDA, Segregation of Duties, and others as appropriate.
Occasional travel may be required to meet the needs of the business (estimated 5%).
Additional duties as assigned.
Education/Experience Qualifications:
A minimum of an Associate’s degree is required; a Bachelor’s degree is preferred.
Five (5) years of related experience is required; eight (8) or more years of related experience is preferred.
In absence of a degree, 9+ years of experience as a software developer is required
An equivalent combination of education and experience sufficient to successfully perform the key job accountabilities may be considered.
Other Qualifications:
Proficiency in a variety of programming languages
Keen attention to detail
High degree of initiative and independent thinking
Advanced decision making, problem solving and analytic skills
Cultivate and disseminate knowledge of application development best practices
Advanced verbal/written communication skills
Excellent understanding of PLC methodologies, coding methods and best practices
General office equipment and materials
Work Environment:
The work setting should consist of an office environment with suitable lighting, comfortable temperatures, and a low noise level.
This document does not represent a contract of employment and is not intended to capture every possible assignment the incumbent could be asked to perform.",Postedhace 30+ días,2022-05-26,https://www.indeed.com/rc/clk?jk=0c409a14f92cd32b&fccid=f46d2a22e8c08ae8&vjs=3,,,Bachelor,9+ years,"Analitical, Attention to details, Collaborate, Comunication skills, Efficiency, Problem solving, Written and oral communication",Environment,,"Software, Reliability",Developer,Software
25,10,Junior Software Developer: Backend,"Guadalajara, Jal.",Jalisco,IBM,,Strong desire to work as software engineers through all phases of the development lifecycle.Software Developers at IBM are the backbone of our strategic…,"Introduction
Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run today – planes and trains take off on time, bank transactions complete in the blink of an eye and the world remains safe because of the work our software developers do. Whether you are working on projects internally or for a client, software development is critical to the success of IBM and our clients worldwide. At IBM, you will use the latest software development tools, techniques and approaches and work with leading minds in the industry to build solutions you can be proud of.

Your Role and Responsibilities
Within the Ansible Development team, you will play a vital role in developing a key interface into the Z Stack that will change how users interact with Z forever.

As an IBM Software Developer, you will use the latest tools and technologies available to deliver state-of-the-art software technologies.

You will be responsible for ensuring that software components are expertly designed, tested, debugged, verified, and ready for integration into IBM’s world-class products, helping organizations improve their business outcomes in the global marketplace.

Strong desire to work as software engineers through all phases of the development lifecycle

Develop understanding of software development principles and testing methodologies such as the Agile lifecycle, along with a high degree of adaptability, drive, and willingness to accept new challenges.

Required Technical and Professional Expertise
Object-Oriented programming eg. PythonLinux or UNIX systems administrationShell scriptingFluent in English

Preferred Technical and Professional Expertise
C/C++/Python programing languagesLinux or UNIX developmentAutomation with AnsibleGit source control managementCI/CD with JenkinsOpenShift or Kubernetes experienceContainers experienceUnderstanding of Agile development methodology

About Business Unit
IBM Systems helps IT leaders think differently about their infrastructure. IBM servers and storage are no longer inanimate - they can understand, reason, and learn so our clients can innovate while avoiding IT issues. Our systems power the world’s most important industries and our clients are the architects of the future. Join us to help build our leading-edge technology portfolio designed for cognitive business and optimized for cloud computing.

Your Life @ IBM
Are you craving to learn more? Prepared to solve some of the world's most unique challenges? And ready to shape the future for millions of people? If so, then it's time to join us, express your individuality, unleash your curiosity and discover new possibilities.

Every IBMer, and potential ones like yourself, has a voice, carves their own path, and uses their expertise to help co-create and add to our story. Together, we have the power to make meaningful change – to alter the fabric of our clients, of society and IBM itself, to create a truly positive impact and make the world work better for everyone.

It's time to define your career.

About IBM
IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.


At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement
For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",Postedhace 9 días,2022-05-26,https://www.indeed.com/rc/clk?jk=a1fd175a82d706af&fccid=de71a49b535e21cb&vjs=3,English,"Python
Agile
express
UNIX
Git
Linux",,,"Continuously learn, Curiosity, strategic",Environment,"Express, Python, Kubernetes","Software, Cloud, Python, C++, Kubernetes, Blockchain",Developer,"Back End, Software"
26,11,"Regular Full Stack (NodeJS, ReactJS, Javascript) Software De...",Remoto,Remoto,Luxoft,,We are looking for a Full Stack Developer to help with our React frontends while communicating with our API layer on the backed establishing generic contracts…,"Project Description
If you're interested in working with extraordinary people and real professionals in one of the largest IT Service Companies, join Luxoft (12,000+ employees around the world), http://www.luxoft.com. We are looking for a candidate for one of our clients.
At this project, we mix creativity, analytics, and a casual (albeit driven) environment in order to get new products and services to market quickly. In Luxoft, our culture is one that strives on solving difficult problems focusing on product engineering based on hypothesis testing to empower people to come up with ideas. Great Place to Work Institute certifies us as one of the Top 10 companies to work for in Mexico, and we do it with a truly flexible environment, high impact projects in agile environments, a culture focused on results, training and strong support to grow your career.
Responsibilities
We are looking for a Full Stack Developer to help with our React frontends while communicating with our API layer on the backed establishing generic contracts and interfaces to allow us to scale globally.

More than 3 years of relevant experience in IT projects

Good understanding of Typescript, React.js and Node.jsExperience designing, building, and consuming RESTful APIsExcellent communication skillsExperience working with AWS technologies and Serverless/CloudformationUnderstanding of Data Structures/Algorithms and enthusiasm for programmingExperience working with large and complex data setsExcellent self-management and problem-solving skills.Experience in an Agile environment
Skills
Must have
NodeJS, Javascript, RESTful API, AWS, Typescript, ReactJS
Nice to have
Agile
Languages
English: B2 Upper Intermediate
Spanish: B2 Upper Intermediate
Seniority
Regular
Relocation package
If needed, we can help you with relocation process.
Vacancy Specialization
Full Stack
Ref Number
VR-76762",Postedhace 13 días,2022-05-26,https://www.indeed.com/rc/clk?jk=c5e1bdca2b41b3f1&fccid=4b841d912d46e4fd&vjs=3,"English, Spanish","Javascript
Node
agile
React
Agile
Typescript
AWS",,3 years,"Analitical, Comunication skills, Creativity, Enthusiasm, Problem solving, Self Management","JavaScript, Environment, React","JavaScript, Node.js, AWS","Full Stack, JavaScript, React, API",,"Full Stack, Software"
27,12,Practicante de Desarrollo de Software,"Santa Catarina, N. L.",Nuevo León,Siemens,,"Carrera en ingeniería de sistemas, software o mecatrónica.Conocimientos en programación de software, administración de base de datos, soportede automatización.","Somos Siemens. ¡Un equipo de más de 5,000 mentes fenomenales que están formando el futuro y tú puedes ser parte de ello! Tenemos fábricas en todo México, llenas de personas trabajadoras que nos ayudan a desafiar el hoy y trabajar hacia un mañana más brillante. Si todos pensáramos lo mismo, ¡nunca pensaríamos en nada nuevo! Es por eso por lo que reclutamos grandes mentes de todos los ámbitos.
En este rol formarás parte del equipo de Recursos Humanos como responsable de digitalizar los procesos del departamento, con el objetivo de simplificarlos, unificarlos y hacerlos más eficientes. Estarás trabajando mano a mano con cada equipo dentro del área para entender las necesidades puntuales. Llevarás desde el análisis, planeación, ejecución y aseguramiento de todos los planes de acción a seguir.
¡Por qué te encantará trabajar para Siemens!
Libertad y un equilibrio saludable entre el trabajo y la vida: adopta nuestro entorno de trabajo flexible con horarios flexibles, teletrabajo y espacios de trabajo digitales.
Resuelva los problemas más importantes del mundo: sea parte de proyectos emocionantes e innovadores.
Entorno tecnológico atractivo de vanguardia, desafiante y de rápida evolución.
Oportunidades para avanzar en tu carrera y programas de tutoría a escala local y global.
Contribuir a nuestras iniciativas de responsabilidad social centradas en el acceso a la educación, acceso a la tecnología y sostenimiento de las comunidades y tener un impacto positivo en la comunidad.
Participe en nuestras celebraciones, eventos sociales y eventos comerciales fuera del sitio.
¡Oportunidades para contribuir con sus ideas innovadoras y obtener recompensas por ellas!
Enfoque en la diversidad y la inclusión.
¿Qué harás?
Desarrollo y digitalización de procesos en Recursos Humanos, a través de todo tipo de herramientas y técnicas de digitalización disponibles, con el fin de aportar valor añadido a dichos procesos y reducir los costes operativos.
ResponsibilitiesBuscar, unificar y administrar procesos de digitalización en RHFull stack web developer
Programación en C#, JavaDesarrollo de páginas webDiseño de DashboardsIngeniería de datos
¿Qué necesitarás para tener éxito?Carrera en ingeniería de sistemas, software o mecatrónica.Conocimientos en programación de software, administración de base de datos, soportede automatización.Disponibilidad de asistir presencialmente a planta.Inglés intermedio (opcional).
Competencias:Impulsar la innovaciónAutodidactaOrientación a resultadosEjecución de procesos
Declaración de igualdad de oportunidades laborales
Declaración de igualdad de oportunidades laborales. Siemens es un empleador de igualdad de oportunidades y acción afirmativa que fomenta la diversidad en el lugar de trabajo. Todos los solicitantes calificados recibirán consideración para el empleo sin importar su raza, color, credo, religión, origen nacional, estado de ciudadanía, ascendencia, sexo, edad, discapacidad física o mental, estado civil, responsabilidades familiares, embarazo, información genética, orientación sexual, expresión de género, identidad de género, transgénero, estereotipos sexuales, condición de veterano protegido o militar, y otras categorías protegidas por la ley federal, estatal o local.
Ubicación: Santa Catarina, Nuevo León
Organization: Smart Infrastructure
Company: Siemens, S.A. de C.V.
Experience Level: Early Professional
Job Type: Full-time",Postedhace 30+ días,2022-05-26,https://www.indeed.com/rc/clk?jk=ae2909b511372c94&fccid=ea6bb53f0b18b8f2&vjs=3,"Ingles Intermedio, Ingles",git,Licenciatura,,Organization,,,"Software, C++",,Software
28,13,Java Developer - Intern,"Zapopan, Jal.",Jalisco,"Toshiba Global Commerce Solutions, Inc.",,"Developing application software in an agile framework, supporting software test efforts, and participating in support of the software once in production.","SW Development – Intern
The company

Toshiba is a provider of technology services for retail businesses to create high-quality digital platforms and products that accelerate time to market. Our diverse and adaptable teams provide the right mix of solutions and methodologies to deliver results as we collaborate with our clients' teams to foster innovation through continuous learning.

Our people

At Toshiba, all team members are empowered to take responsibility and develop innovative solutions to our customers' most challenging problems. To retain and develop top talent, we foster a work environment that celebrates creativity, encourages skill development, and enables multidisciplinary collaboration.


What you will bring to the team

We are looking for University/college students ready to assist, receive guidance, and learn from more experienced/senior SW Engineers. We are looking for someone at least one year from graduation and prepared to take on challenging support/development activities.

As an Java Dev Intern working for Toshiba Global Commerce Solutions, you will play a key role in supporting some of the essential SW ingredients used in several of the most important retail brands. We provide services to retail clients worldwide by developing and delivering a wide variety of custom software solutions such as POS, self-checkout, and mobility solutions. We seek proactive and skilled resources to work in a dynamic, collaborative, and ever-changing environment.

What you will be doing:

Your typical day as a Toshiba Java Development – Intern will involve:

Responsibilities:

Working in cross-functional teams to define SW requirements
Analyzing/providing schedule input
Writing functional and design specifications
Developing application software in an agile framework, supporting software test efforts, and participating in support of the software once in production
As part of this role, you will also learn and aid in DevOps and vulnerabilities analysis and updates.

Naturally To be successful in this role, you must have and know of

A student with at least one year from graduation (Computer Science, SW Engineering, Electronics Eng.)
At least one years’ experience in Object-oriented programming (Java) - PRIMARY SKILL
At least one years’ experience with JavaScript
Basic understanding of Extensible Markup Language (XML)
Basic understanding/expertise in WEB development
English: Fluent.
The candidate needs strong programming and analytical skills, problem determination and debugging knowledge, attention to detail, teamwork, and excellent communication skills.
The candidate will have additional advantages if they have some experience with Jenkins, GIT, Docker, JUNIT, DevOps, Scrum, or prior retail SW Dev or testing experience.

We offer:

Career plan and real growth opportunities
Constant training, tutoring, online corporate courses, eLearning and more
Pleasant work environment (game room, nap area, amenities and more).
Flexible work hours and dress code

EEO:
 Toshiba Global Commerce Solutions is an equal employment employer and is committed to providing employment opportunities.",Postedhace 6 días,2022-05-26,https://www.indeed.com/rc/clk?jk=30665c75785c9f44&fccid=3221a0a36b40fb9f&vjs=3,English,"agile
JavaScript
git
GIT
Scrum",,,"Analitical, Attention to details, Collaborate, Comunication skills, Continuously learn, Creativity, Innovation, Team Work, Working with cross functional teams","JavaScript, Environment, Git","Git, Java, JavaScript, Docker, Devops","Software, Devops, Web Development, Java, JavaScript, Docker",Developer,
29,14,Software Developer,"Mexicali, B.C.",Baja California,Safran,,"Responsible for compliance with software standards and conventions.Applies a systematic, disciplined, quantifiable approach to the construction, analysis, or…","Description du poste

Researches, designs, develops, tests, debugs, deploys, and maintains application software.


Applies a systematic, disciplined, quantifiable approach to the construction, analysis, or management of software.


Involved in planning of system and assists with system design. Analyzes complex business problems to be solved with automated systems.


Performs all aspects of programming assignments.


Responsible for compliance with software standards and conventions.



Designs and builds changes, extensions and enhancements to existing application programs and reports.


Supports data migration, data conversion, data loading, and performance improvement.


Prepares operating instructions and compiles documentation of program development. Prepares test plans and conducts functional and performance testing.


Develop/modify programs based on functional specification, investigate and understand new technologies, conduct unit-tests, code review and performance monitoring.


Translates business needs into technical requirements. Has system-wide responsibility on complex projects and components.


Coach and train other team members


General knowledge of manufacturing environment and process

Exigences du poste

Qualifications:

Bachelors in appropriate Engineering.
English - 80%
3 year experience
Experience in: C#, JavaScript, .NET Framework, Entity Core, VueJS, NodeJS/NPM, web services, Net Core API3
SQL databases. IIS, GitHub

Revision Control System (Subversion, Tortoise SVN, Visual SVN).
Experience in, SAP and project management a plus

Spécificité du travail

Visa available

Safran est un groupe international de haute technologie opérant dans les domaines de l'aéronautique (propulsion, équipements et intérieurs), de l'espace et de la défense. Sa mission : contribuer durablement à un monde plus sûr, où le transport aérien devient toujours plus respectueux de l'environnement, plus confortable et plus accessible. Implanté sur tous les continents, le Groupe emploie 76 800 collaborateurs pour un chiffre d'affaires de 15,3 milliards d'euros en 2021, et occupe, seul ou en partenariat, des positions de premier plan mondial ou européen sur ses marchés. Safran s'engage dans des programmes de recherche et développement qui préservent les priorités environnementales de sa feuille de route d'innovation technologique.


Safran est classé 3ème meilleur employeur mondial dans son secteur par le magazine Forbes en 2021.


Safran Electronics & Defense est un leader mondial de solutions et de services en optronique, avionique, électronique et logiciels critiques, pour les marchés civils et de défense. La société équipe notamment plus de 1 000 navires, 25 000 véhicules terrestres et 10 000 avions à travers le monde.

BAC+3, BAC+4

Supérieure à 3 ans",Postedhace 17 días,2022-05-26,https://www.indeed.com/rc/clk?jk=5c9af03e2e97f21e&fccid=b3885ca934ed0066&vjs=3,English,"Node
JavaScript
NPM
GitHub
Git",Bachelor,3 year,"Coach, Innovation, Involved","JavaScript, Environment, Github","Github, JavaScript, SQL","Software, JavaScript, SQL, C++",Developer,Software
30,0,Software Developer 3,"Guadalajara, Jal.+1 ubicación",Jal+1 ubicación,Oracle,,Provide technical leadership to other software developers.2+ years’ experience and expertise working with database software or related systems software.,"Software Developer 3-22000508

Applicants are required to read, write, and speak the following languages: English

Preferred Qualifications
Do you want to work on a product that is a suite of next-generation integrated monitoring, active management, and analytic cloud services that leverage machine learning and big data techniques against the full breadth of the operational data set?
Are you interested in making an enterprise software that will help customers move their databases and applications into the cloud?
Are you interested in making an enterprise software that will help customers manage their cloud assets at scale?
Imagine what it means to customers to just deal with their business problem, rather than spending countless hours of administrative, maintenance activities of maintaining the underlying platform. We are in the business of making it happen.
Think about how much automation, dev-ops innovation is needed to provide a slick experience for an enterprise to put a foot into the cloud world and improve their management capabilities.
Imagine the scale at which we need to make it happen. Also add the equation of Hybrid cloud in mix. Yes, a good chunk of enterprise customers want the best of both worlds, Private and Public Cloud. Our team is excited to deliver just that option!
If the above excites you, please apply. We have multiple positions to build an overall “A” team that can make the cutting edge Database as service automation a reality.
About You
This opening is for a full stack Senior Software Engineer in the Database Management area in the Enterprise Manager product. You will work with a fast-growing, action-oriented team of software engineers, test automation engineers, product managers and UX designers to build out new functionality and enhancements within the product. As a team, we use Agile methodologies to self organize and deliver value at a rapid pace.
This is a core area in Database Server management where new technology is continuously being developed to make the database server perform better, scale-up to greater throughput and provide the functionality to help migration to the cloud. You will have the opportunity to deal with challenging customer problems that require systems knowledge i.e. spanning across key areas of operating systems, databases, parallel and distributed systems as well as cloud infrastructure. If you are interested in solving challenging problems in system architecture and algorithms, then this the role for you.
Preferred Qualifications
4+ years’ experience as a Software Developer/Engineer within an Enterprise Product Development team
4+ years’ experience with a high-level programming language (Java preferred)
2+ years’ experience and expertise working with database software or related systems software
Must possess excellent debugging skills
Bachelor’s degree in Computer Science, Engineering or related field
Additional Competencies
A can-do attitude with a high interest in learning new technologies and how to function in a multi-dimensional team environment.
Excellent verbal and written communication skills
Experienced with multiple software development methodologies, with an emphasis and passion for Agile
Ability to communicate and collaborate effectively with all levels of the organization and across multiple technical and non-technical groups
Comfortable and effective in internal and external-facing scenarios
A can-do attitude with a willingness to take on challenging tasks and the ability to multitask effectively across multiple areas of responsibilities
Can prioritize tasks effectively to ensure timely delivery of the project

Detailed Description and Job Requirements

Design, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc.

As a member of the software engineering division, you will assist in defining and developing software for tasks associated with the developing, debugging or designing of software applications or operating systems. Provide technical leadership to other software developers. Specify, design and implement modest changes to existing software architecture to meet changing needs.

Duties and tasks are varied and complex needing independent judgment. Fully competent in own area of expertise. May have project lead role and or supervise lower level personnel. BS or MS degree or equivalent experience relevant to functional area. 4 years of software engineering or related experience.

Oracle is an Affirmative Action-Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, protected veterans status, age, or any other characteristic protected by law.

Job: Product Development
Location: MX-MX,Mexico-Guadalajara/Zapopan
Job Type: Regular Employee Hire
Organization: Oracle",Postedhace 30+ días,2022-05-26,https://www.indeed.com/rc/clk?jk=bf19a29923927477&fccid=cd22d01053af7669&vjs=3,English,Agile,Bachelor,"4+ years, 4+ years, 2+ years, 4 years","Analitical, Collaborate, Comunication skills, Continuously learn, Innovation, Leadership, Organization, Written and oral communication","Environment, Next","Java, Oracle","Full Stack, Software, Platform, Cloud, Java, Oracle, UX",Developer,Software
31,1,Software Developer C 3,"Guadalajara, Jal.",Jalisco,Oracle,,"Provide technical leadership to other software developers.As a member of the software engineering division, you will assist in defining and developing software…","Software Developer C 3-220000VS

Applicants are required to read, write, and speak the following languages: English, Spanish

Preferred Qualifications
The Virtual Operating System (VOS) development group provides a portable and high-performance platform for the Oracle Database. VOS is the platform upon which the database and the database cloud is built.

We define abstractions and develop infrastructure modules that provide process/thread/user-threads management and scheduling, memory management, heap management, synchronization support, CPU/GPU and I/O resource allocation, placement and management, cloud interfacing and management, bin packing, machine learning, intercluster and interprocess communication, high-performance file and storage I/O, event model, statistics, data representation, compression, encryption, persistent memory programming model and more for autonomous cloud, hybrid cloud, cloud, onprem environments.
Team and Product Description:
Oracle is the overall leader in the worldwide relational database management systems (RDBMS) software market. Oracle is the industry's most popular database by more than a two to one margin over its nearest competitor.
Oracle Autonomous Database Cloud is the world’s first autonomous data management in the cloud to deliver automated patching, upgrades, and tuning—including performing all routine database maintenance tasks while the system is running—without human intervention. This new autonomous database cloud is self-driving, self-securing, and self-repairing, which helps to eliminate manual database management and human errors. Traditional database clouds are manually managed and tuned, subject to human error, and easily exposed to costly security vulnerabilities, making the promise of cloud savings and efficiency unattainable. Oracle is using machine learning to revolutionize data management with the introduction of the world’s first autonomous database cloud, delivering more automation for more savings.

Achieving high performance on a broad variety of platforms and exploiting new technologies are important to maintaining Oracle's current and future leadership position in the database market.

We ensure that the Oracle database is a market leader on all cloud and platforms, from clustered Linux blade servers to the largest SMP servers (100+ cores and more than 16-32TB of DRAM). We define interfaces to the platform-specific layer that exploit OS-specific functionality, such as NUMA-aware memory allocation, persistent memory, dynamic reconfiguration, user-mode threads, cloud-computing, encryption, compression and virtualization.

Our evaluations of leading technologies such as Infiniband, as high throughput low latency interconnect, TSX, offload-engines, and leading-edge microprocessors like Intel-Cascade Lake, ARM, often lead to hardware enhancements that improve Oracle database performance and scalability.

We often recommend introduction of new interfaces operating system and storage vendors. We continuously collaborate with hardware/OS/storage vendors to understand their roadmaps and to propose improvements for better database performance and functionality.

Description of the Role: Actual job responsibilities/tasks
Responsibilities for a developer in the VOS area include designing and developing database kernel abstractions and modules to introduce new functionality or enhance scalability and performance, interfacing with other database developers to gather requirements for improving the database kernel, collaborating with OS/hardware vendors and the performance group on high-profile benchmarks, and providing systems expertise to the database division.

Through us, one gets an opportunity to interact with the various group in DB division, designers and architects in Cloud, Operating System and Hardware vendors and influence future software and hardware designs and roadmaps.
We seek strong analytical and problem-solving skills, parallel programming, multi-threaded programming, coursework in operating systems and computer architecture (yeah!, the low level stuff), and proficiency in C or C++. If you enjoy solving complex software problems and learning about new technologies, talk to us!
Preferred Qualifications: What skills/abilities/background would your ideal candidate possess? **THIS IS REQUIRED**
Degree level (BS/MS/PhD): BS/MS/PhD
Major(s): Computer Science/Electronics/Electrical
Programming languages: C/C++, x86 Assembly
Tools, software, etc: gdb, vi/emacs, perf, source control, git
Preferred coursework: (some) Operating Systems, Programming, Computer Architecture, Distributed Computing, Parallel Programming, Network Programming, Machine Learning, Cloud Computing, Artificial Intelligence, Algorithms,
Other qualifications: Linux, Windows

Detailed Description and Job Requirements

Design, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc.

As a member of the software engineering division, you will assist in defining and developing software for tasks associated with the developing, debugging or designing of software applications or operating systems. Provide technical leadership to other software developers. Specify, design and implement modest changes to existing software architecture to meet changing needs.

Duties and tasks are varied and complex needing independent judgment. Fully competent in own area of expertise. May have project lead role and or supervise lower level personnel. BS or MS degree or equivalent experience relevant to functional area. 4 years of software engineering or related experience.

Oracle is an Affirmative Action-Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, protected veterans status, age, or any other characteristic protected by law.

Job: Product Development
Location: MX-MX,Mexico-Guadalajara/Zapopan
Job Type: Regular Employee Hire
Organization: Oracle",Postedhace 30+ días,2022-05-26,https://www.indeed.com/rc/clk?jk=bc0774000dc45863&fccid=cd22d01053af7669&vjs=3,"English, Spanish","Linux
git",PhD,4 years,"Analitical, Collaborate, Comunication skills, Continuously learn, Efficiency, Leadership, Organization, Problem solving",Git,"Linux, Git, Oracle","Software, Platform, Cloud, Oracle, C++",Developer,Software
32,2,Senior Full Stack (Python) Software Developer,Remoto,Remoto,Luxoft,,"Expertise in overall software development.Writing Python code in Lambdas in AWS creating, calling and consuming APIs for the DevOps ecosystem.","Project Description
If you're interested in working with extraordinary people and real professionals in one of the largest IT Service Companies, join Luxoft (12,000+ employees around the world), http://www.luxoft.com. We are looking for a candidate for one of our clients.
At this project, we mix creativity, analytics, and a casual (albeit driven) environment in order to get new products and services to market quickly. In Luxoft, our culture is one that strives on solving difficult problems focusing on product engineering based on hypothesis testing to empower people to come up with ideas. Great Place to Work Institute certifies us as one of the Top 10 companies to work for in Mexico, and we do it with a truly flexible environment, high impact projects in agile environments, a culture focused on results, training and strong support to grow your career.
Responsibilities
Writing Python code in Lambdas in AWS creating, calling and consuming APIs for the DevOps ecosystem.Expertise in overall software development.Proficiency in TDD, SOA, REST, Design Patterns, MVC, and relational and NoSQL databases.Proficiency in Backend development technologies (mainly Python and Node.JS).Excellence in the ability to seek and learn new technologies with a focus on problem solving.Experience in the entire product development cycle, from design to test and release.Knowledge in DevOps, with complex deliveries using more than one platform is a plus.Knowledge of GIS stack like Anaconda, GDAL, OGR, GEOS is a plus.Experience with digital image processing and Computer Vision is a plus.
Skills
Must have
API, Python, GIS
Nice to have
AWS
Languages
English: B2 Upper Intermediate
Seniority
Senior
Relocation package
If needed, we can help you with relocation process.
Vacancy Specialization
Full Stack
Ref Number
VR-76769",Postedhace 14 días,2022-05-26,https://www.indeed.com/rc/clk?jk=32f82701d103f20f&fccid=4b841d912d46e4fd&vjs=3,English,"MVC
Node
agile
NoSQL
Python
git
AWS",,,"Analitical, Continuously learn, Creativity, Problem solving",Environment,"Node.js, Python, NoSQL, Devops, AWS","Full Stack, Software, Platform, Devops, Python, API",Developer,"Full Stack, Software"
